monument_id,monument_name,parkprop,parkname,Location,geometry
238,Seal of the State of New York (aka Excelsior),Y,Central Park,"Under exterior staircase, front entrance, the Arsenal",POINT (-73.9655834 40.7825547)
239,Thomas Moore,Y,Central Park,"Poet's Corner, East Driv, near 60th Street",POINT (-73.9655834 40.7825547)
240,"Library, New York Public",N,unknown,unknown,POINT EMPTY
241,Imagine,Y,Central Park,"Strawberry Fields, Central Park West and 72nd Street",POINT (-73.97520759999999 40.7757544)
242,Study,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, beside center window in attic",POINT (-74.00436549999999 40.7134361)
243,Alan Lomax Tablet,Y,unknown,Carousel,POINT EMPTY
244,William Shakespeare,Y,Central Park,Literary Mall,POINT (-73.9655834 40.7825547)
245,Alice Hochstader & Edward A. Kerbs,Y,Central Park,"East 72nd Street, Inventors Gatepost",POINT (-73.9655834 40.7825547)
246,"goldie, sarah",N,unknown,"82ND ST., EAST OF 2ND AVE.",POINT EMPTY
247,Vanderbilt Gates,Y,Central Park,Conservatory Garden; 5th Avenue and 105th Street,POINT (-73.9524588 40.7936928)
248,Lombard Lamp,Y,Central Park,East Drive at 60th Street,POINT (-73.9655834 40.7825547)
249,Irving and Estelle Levy Playground Gate,Y,Central Park,"Pat Hoffman Friedman Playground, 5th Avenue and 79th Street",POINT (-73.9639789 40.7776573)
250,Wallach Walk Paver,O,Central Park,"Central Park Zoo; north of Tisch Children's Zoo, east of Balto",POINT (-73.9655834 40.7825547)
251,John Purroy Mitchel,Y,Central Park,Fifth Avenue at 90th Street,POINT (-73.9585675 40.7840819)
252,The Indian Hunter,Y,Central Park,South end of the Mall,POINT (-73.9655834 40.7825547)
253,Arsenal Mural,Y,Central Park,Arsenal lobby,POINT (-73.9655834 40.7825547)
254,Baboon and Mandrill,O,Central Park,"Central Park Zoo; School building, west end of south façade",POINT (-73.9719906 40.7677061)
255,Deer,O,Central Park,Central Park Zoo; Central Park Wildlife Center; east side of south façade,POINT (-73.9719906 40.7677061)
256,Columbus Monument,Y,Central Park,Columbus Circle,POINT (-73.9815219 40.767848)
257,Romeo and Juliet,Y,unknown,Near entrance of Delacorte Theater,POINT (-73.96879419999999 40.7802033)
258,New York Custom House,N,unknown,BOWLING GREEN,POINT (-86.4808043 36.9685219)
259,American Museum of Natural History Tablet,Y,Central Park,The Arsenal Gallery,POINT (23.1664937 53.1304264)
260,Marabou,O,Central Park,"Central Park Zoo; Gallery, west end of north façade",POINT (-73.9655834 40.7825547)
261,Industrial Art,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, sixth from left",POINT (-74.00436549999999 40.7134361)
262,The Tempest (Prospero and Miranda),Y,Central Park,Delacorte Theatre,POINT (-73.96879419999999 40.7802033)
263,Mother Goose,Y,Central Park,"Rumsey Playground, E. Drive at 72nd St.",POINT (-114.0436938 51.0407958)
264,Snow Babies,Y,Central Park,"Entrance to Mary Harriman Rumsey Playground, East Drive at 72nd Street.",POINT (-73.9655834 40.7825547)
265,Civic Duty,N,unknown,MUNICIPAL BUILDING; Chambers and Center Streets,POINT (-74.0036107 40.7131386)
266,public school #57,N,unknown,unknown,POINT EMPTY
267,public school #2,N,unknown,unknown,POINT EMPTY
268,Balto,Y,Central Park,"The Dene, west of 5th Avenue and East 67th Street",POINT (-73.9698167 40.7699501)
269,Swans,O,Central Park,"Central Park Zoo; Gallery, north end of east façade",POINT (-73.9655834 40.7825547)
270,Loeb Boathouse Plaque,Y,Central Park,"Exterior wall of Loeb Boathouse, opposite The Rowers",POINT (-73.9655834 40.7825547)
271,Arthur Brisbane Monument,Y,Central Park,Fifth Avenue at 101st Street,POINT (-73.953439 40.7911017)
272,Olmsted Tablets,Y,Central Park,"South end of mall, Park Drive",POINT (-73.9655834 40.7825547)
273,Dr. James Marion Sims,N,Central Park,"Green-Wood Cemetery, Dale and Cypress Avenues",POINT (-73.99476760000002 40.6580754)
274,Executive Power,N,unknown,MUNICIPAL BUILDING; Chambers and Center Streets,POINT (-74.0036107 40.7131386)
275,Seventh Regiment Memorial,Y,Central Park,West Drive opposite 67th St.,POINT (-73.9655834 40.7825547)
276,Autumn,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic",POINT (-74.00436549999999 40.7134361)
277,Louis Fitzgerald,N,unknown,71st Regiment Armory; Park Avenue at 33rd Street,POINT (-73.9393927 40.804326)
278,Delacorte Geyser,N,unknown,anchored at southern tip of Roosevelt Island,POINT (-73.9509934 40.76050310000001)
279,Untermyer Fountain,Y,Central Park,"Conservatory Garden, 105th St. and Fifth Avenue",POINT (-73.9524588 40.7936928)
280,Sheriff,N,unknown,MUNICIPAL BUILDING; chambers and centre st.,POINT EMPTY
281,Navy Walk Tablet,Y,Central Park,"West walk, fountain esplanade",POINT (88.3518608 22.5652757)
282,Police Headquarters Honor Roll,N,unknown,CENTRE AND LAFAYETTE ST.,POINT EMPTY
283,Sundial,Y,Central Park,CENTRAL PARK; Shakespeare Gardens,POINT (-73.96988209999999 40.7797535)
284,Loeb Memorial Fountain,Y,Central Park,Fifth Avenue at East 76th; Levin Playground,POINT (-73.9652164 40.7757247)
285,Naumburg Bandshell,Y,Central Park,North end of Mall,POINT (-73.9655834 40.7825547)
286,Commerce,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, fourth from left",POINT (-74.00436549999999 40.7134361)
287,Richard Morris Hunt Memorial,Y,Central Park,"Perimeter wall, Fifth Avenue at 70th Street",POINT (-73.9679972 40.7711497)
288,William Tecumseh Sherman,O,Riverside Park,"GRANTS TOMB, riverside drive at 122nd st",POINT (-73.9630671 40.8134045)
289,Henry Clay,N,unknown,CITY HALL; Governor's Room,POINT EMPTY
290,Cherry Hill Fountain,Y,Central Park,located west of Bethesda Terrace near the 72nd Street cross drive; Cherry Hill Concourse,POINT (-73.97096570000001 40.7739528)
291,Eagles and Vultures,O,Central Park,"Central Park Zoo; Gallery, north façade above entrance",POINT (-73.9655834 40.7825547)
292,Andrew Haswell Green,Y,Central Park,"East Drive, opposite 104th Street",POINT (-73.9655834 40.7825547)
293,Hans Christian Andersen,Y,Central Park,"On raised plaza west of Conservatory Lake, East 74th Street and East Drive",POINT (-73.9655834 40.7825547)
294,"Cunningham, Mary",N,unknown,unknown,POINT EMPTY
295,Wollman Portrait,Y,unknown,"Central Park, South of Dairy (E63rd and 6th Ave equivalent); Wollman Memorial Skating Rink, on wall adjacent to concession",POINT (30.9503435 -17.3726925)
296,Childhood,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic",POINT (-74.00436549999999 40.7134361)
297,"Macpherson, James Birdseye",O,Riverside Park,"GRANTS TOMB, riverside drive at 122nd st.",POINT (-73.9630671 40.8134045)
298,Isham,N,Central Park,"Metropolitan Museum, south wall; 5th Avenue and 82nd St",POINT (-73.963244 40.7794366)
299,prudence,N,unknown,"MUNICIPAL BLDG, CHAMBERS ARCH; chambers and centre Streets",POINT EMPTY
300,Corrections,N,unknown,MUNICIPAL BUILDING; Center and Chambers Streets,POINT (-74.0036107 40.7131386)
301,James Jackson Tombstone,Y,unknown,unknown,POINT EMPTY
302,Cockatoos and Ara,O,Central Park,"Central Park Zoo; Gallery, west end of south façade",POINT (-73.9655834 40.7825547)
303,U.S.S. Maine National Monument,Y,Central Park,"59th Street and Central Park West, Columbus Circle",POINT (-73.9818957 40.7680797)
304,justice,N,unknown,CRIMINAL COURTS BLDG; franklin and centre st,POINT EMPTY
305,William F. Havemeyer,O,City Hall Park,City Hall; Governors Room,POINT (-74.0065164 40.7124142)
306,George Henry Thomas,O,Riverside Park,GRANT'S TOMB; Riverside Drive at 122nd St.,POINT (-73.9630671 40.8134045)
307,Alice in Wonderland,Y,Central Park,"76th Street and 5th Avenue, near Conservatory Lake",POINT (-73.9655834 40.7825547)
308,James A. Sherry Plaque,Y,Central Park,Arsenal Gallery,POINT (-73.9713659 40.7676682)
309,Martin Birdbath,Y,Central Park,"Cafeteria pergola, formerly the Lion House",POINT (-73.9655834 40.7825547)
310,King Wladyslaw Jagiello,Y,Central Park,unknown,POINT (-73.9655834 40.7825547)
311,San Martin Tablet,Y,Central Park,Bolivar Plaza; 6th Avenue and 59th Street,POINT (-73.97623709999999 40.76574189999999)
312,Clinton L. Bagg,N,unknown,"METROPOLITAN HOSPITAL, ROTUNDA; welfare island",POINT (-73.9509934 40.76050310000001)
313,Cupids with Garland,N,unknown,MUNICIPAL BUILDING; Chambers and Center Streets/ arch,POINT (-74.0036107 40.7131386)
314,Richard Saunders Scott,Y,Central Park,Conservatory Lake; 100 feet north of Kerbs Boathouse,POINT (-73.9655834 40.7825547)
315,Mary Harriman Rumsey,Y,Central Park,Rumsey Playground; E. Drive at 72nd St.,POINT (-114.0436938 51.0407958)
316,Dewitt Clinton,N,unknown,Museum of the City of New York; Fifth Avenue at 103rd & 104th Streets,POINT (-73.95190889999999 40.7924939)
317,"poe, edgar allan",N,unknown,CCNY HALL OF PATRIOTS; convent Avenue and 137th st.,POINT (-73.9487727 40.8211747)
318,Robert Moses Memorial,Y,Central Park,The Arsenal; 3rd floor conference room,POINT (-73.9655834 40.7825547)
319,new york training school for teachers,N,unknown,unknown,POINT EMPTY
320,Overseas Service League Flagstaff,Y,Central Park,"Fifth Avenue, near 69th and 70th Streets",POINT (-73.9655834 40.7825547)
321,Alexander von Humboldt,Y,Central Park,Central Park West and 77th Street,POINT (-73.9736052 40.7794981)
322,Instruction,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, beside center window in attic",POINT (-74.00436549999999 40.7134361)
323,Bethesda Terrace,Y,unknown,"North of Mall, off 72nd Street",POINT EMPTY
324,Caribou,O,Central Park,"Central Park Zoo; Wildlife Conservation Center, east side of south façade",POINT (-73.9655834 40.7825547)
325,Belvedere Tower,Y,unknown,unknown,POINT EMPTY
326,Bacchante and Infant Faun,N,Central Park,Metropolitan Museum of Art,POINT (-73.963244 40.7794366)
327,Force,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, fourth from left",POINT (-74.00436549999999 40.7134361)
328,Navy Terrace,Y,Central Park,"North end, fountain esplanade",POINT (-73.9655834 40.7825547)
329,Friedel Memorial Drinking Fountain,Y,Central Park,"Runners Gate, 90th Street and 5th Avenue",POINT (-73.9585675 40.7840819)
330,public school # 3 tablet,N,unknown,unknown,POINT EMPTY
331,Urns -central park bandshell (2),Y,Central Park,Naumberg Bandshell,POINT (-73.9710283 40.7726834)
332,Daniel Draper,Y,Central Park,Belvedere Tower,POINT (-73.9655834 40.7825547)
333,Turkeys,O,Central Park,"Central Park Zoo; Gallery, south end of east façade",POINT (-73.9655834 40.7825547)
334,Penguins,O,Central Park,"Central Park Zoo; Gallery, north end of west façade",POINT (-73.9655834 40.7825547)
335,Bethesda Fountain and Terrace,Y,Central Park,"North of mall, west wall, east stairs",POINT (-73.9655834 40.7825547)
336,City Employees War Memorial,Y,Central Park,"West of north end of Mall, opposite Naumberg Bandshell",POINT (-73.9655834 40.7825547)
337,Conservatory Garden Fountain,Y,Central Park,Conservatory Gardens; Fifth Avenue and 105th Street,POINT (-73.9524588 40.7936928)
338,Jose Julian Marti,Y,Central Park,Central Park South at Avenue of the Americas,POINT (-73.97623709999999 40.76574189999999)
339,Fitz Greene Halleck,Y,Central Park,East side of Mall,POINT (-73.9655834 40.7825547)
340,Darwin,O,Theodore Roosevelt Park,Museum of Natural History; Southeast corner facing aisle in South Wing,POINT (-73.9742272 40.7824902)
341,Ludwig Van Beethoven,Y,Central Park,NW of mall - opposite bandshell,POINT (-73.9655834 40.7825547)
342,Egyptian Obelisk,Y,Central Park,East Drive at 81st Street behind Metropolitan Museum  of Art,POINT (-73.963244 40.7794366)
343,museum of the city of new york,N,unknown,"ROMULUS AND REMUS, ALEX HAMILT",POINT EMPTY
344,"Wollman, Jane and Betty Skating Rink",Y,Central Park,South of Dairy; on wall at rink level,POINT (-73.9655834 40.7825547)
345,Tisch Children's Zoo Gate,Y,Central Park,East 65th Street,POINT (-73.9675799 40.7668847)
346,Robert Burns,Y,Central Park,South end of Literary Walk,POINT (-73.9655834 40.7825547)
347,Commissioner Newbold Morris,Y,Central Park,Between Arsenal and Central Park Zoo; next to bench at the SW corner of building,POINT (-73.9719906 40.7677061)
348,Senator Robert F. Wagner Memorial,Y,unknown,"Wagner Houses, 2nd Avenue at 120th Street",POINT (-73.93150469999999 40.7982033)
349,Painting,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, seventh from lef",POINT (-74.00436549999999 40.7134361)
350,Cactus Couple,Y,Central Park,"Arsenal South Roof, center of roof beside planter banquette",POINT (-73.9655834 40.7825547)
351,307th Infantry Memorial Grove,Y,Central Park,East of Mall,POINT (-73.9655834 40.7825547)
352,Wolf and Lynxes,O,Central Park,"Central Park Zoo; Willard T.C. Johnson Penguin Building, northeast façade",POINT (-73.9719906 40.7677061)
353,Jeanne E. Kerbs,Y,Central Park,Conservatory Lake Boathouse,POINT (144.9594709 -37.82242)
354,John Jay,N,unknown,CITY HALL; council chamber,POINT EMPTY
355,mohammed,N,unknown,APPELLATE COURT; madison ave and 25th st.,POINT (-90.13664159999999 38.7074271)
356,Board of Estimate,N,unknown,MUNICIPAL BUILDING; Chambers and Centre Streets,POINT EMPTY
357,solon,N,unknown,"APPELATE COURT BUILDING; madison Avenue at 25th st, 25th st. fac.",POINT (-90.13664159999999 38.7074271)
358,Millennial Clock,N,unknown,"Millennial Park, DOT property off southern tip of City Hall Park",POINT EMPTY
359,History,O,Bryant Park,New York Public Library; 42nd St. and 5th Avenue,POINT (-73.9822534 40.75318230000001)
360,Chemistry,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, first from left",POINT (-74.00436549999999 40.7134361)
361,Keeper of the Rolls,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, beside center window in attic",POINT (-74.00436549999999 40.7134361)
362,Five in One,N,unknown,unknown,POINT EMPTY
363,Autumn,N,unknown,"APPELLATE COURT BUILDING; Madison Avenue at 25th St., madison avenue façade",POINT (-90.13664159999999 38.7074271)
364,Columbia University entrance pylons,N,unknown,"Broadway at 116th St., Amsterdam and 116th",POINT (4.9041389 52.3675734)
365,science,N,unknown,COLUMBIA UNIVERSITY; broadway at 116th st.,POINT (-73.9625727 40.8075355)
366,Stuyvesant High School,N,unknown,STUYVESANT HIGH SCHOOL; 15th -16th St. west of 1st Avenue,POINT (-74.0138422 40.7178149)
367,Civil Service,N,unknown,MUNICIPAL BUILDING; Chambers and Center streets,POINT (-74.0036107 40.7131386)
368,Abram Stevens Hewitt,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, fourth from left",POINT (-74.00436549999999 40.7134361)
369,noon and evening,N,unknown,APPELLATE COURT BUILDING; madison Avenue at 25th st.,POINT (-90.13664159999999 38.7074271)
370,Romance,O,Bryant Park,New York Public Library; 42nd St. and 5th Avenue; East façade,POINT (-73.9822534 40.75318230000001)
371,records,N,unknown,MUNICIPAL BUILDING; chambers and centre Streets,POINT EMPTY
372,History,O,Bryant Park,New York Public Library; 42nd St. and 5th Avenue; East façade,POINT (-73.9822534 40.75318230000001)
373,water supply,N,unknown,MUNICIPAL BLDG.; chambers and centre Streets,POINT EMPTY
374,Benjamin Franklin,N,Theodore Roosevelt Park,"American Museum of Natural History, 77th Street; Rotunda",POINT (-73.9739882 40.7813241)
375,Sculpture,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, eighth from left",POINT (-74.00436549999999 40.7134361)
376,Othello,N,unknown,PUBLIC LIBRARY; Lenox and 135th St.,POINT EMPTY
377,washington's headquarters subway,N,unknown,157TH ST. SUBWAY; uptown platform,POINT (-73.9447643 40.8240478)
378,public school #164,N,unknown,164TH AND EDGECOMBE AVE.,POINT (-73.9400601 40.8288575)
379,spirit of commerce,N,unknown,MANHATTAN BRIDGE PLAZA; left side of entrance,POINT (-73.99077419999999 40.7074959)
380,public school #186,N,unknown,unknown,POINT EMPTY
381,Caleb Heathcote,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, second from left",POINT (-74.00436549999999 40.7134361)
382,"Justinian, Flavius Anicus",N,unknown,APPELLATE COURT BLDG; Madison Ave. at 25th St.,POINT (-90.13664159999999 38.7074271)
383,Heritage,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic",POINT (-74.00436549999999 40.7134361)
384,Spring,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic",POINT (-74.00436549999999 40.7134361)
385,Philip Hone,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, fifth from left",POINT (-74.00436549999999 40.7134361)
386,public school #190,N,unknown,unknown,POINT EMPTY
387,Peter Stuyvesant,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, sixth from left",POINT (-74.00436549999999 40.7134361)
388,holland bust,N,unknown,HOLLAND TUNNEL; niche,POINT (-74.0224792 40.7276508)
389,Dewitt Clinton,O,unknown,City Hall; Governor's Room,POINT EMPTY
390,Force,N,unknown,Appellate Court; Madison Avenue at 25th Street,POINT (-90.13664159999999 38.7074271)
391,"Rumford, Count Benjamin Thompson",N,unknown,CCNY - CHEMISTRY BUILDING; Convent Avenue at 137th Street,POINT (-73.9492724 40.8200471)
392,Buffalo Hunt,N,unknown,"Manhattan Bridge, Manhattan",POINT (-73.99077419999999 40.7074959)
393,City College,N,unknown,unknown,POINT EMPTY
394,Architecture,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, eighth from left",POINT (-74.00436549999999 40.7134361)
395,spirit of industry,N,unknown,MANHATTAN BRIDGE PLAZA; right side of bridge entrance,POINT (-73.9712488 40.7830603)
396,Authority,N,unknown,"COUNTY COURT HOUSE; Foley Square, Centre Street between Pearl and Worth",POINT (-74.0029927 40.7143512)
397,winter,N,unknown,APPELLATE COURT BUILDING; madison Avenue at 25th st.,POINT (-90.13664159999999 38.7074271)
398,"vanderbilt, cornelius",N,unknown,GRAND CENTRAL STATION; park ave at 42nd st,POINT (-73.9768041 40.7533582)
399,Religion,O,Bryant Park,New York Public Library; 42nd St. and 5th Avenue,POINT (-73.9822534 40.75318230000001)
400,Music,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, seventh from left",POINT (-74.00436549999999 40.7134361)
401,Law,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, beside center window in attic",POINT (-74.00436549999999 40.7134361)
402,manu,N,unknown,APPELLATE COURT BLDG.; madison Avenue and 25th st.,POINT (-90.13664159999999 38.7074271)
403,public school #79,N,unknown,"1RST ST, BETWEEN 1ST & 2ND AVE",POINT EMPTY
404,Morning and Night,N,unknown,APPELLATE COURT BLDG.; madison Avenue and 25th st.,POINT (-90.13664159999999 38.7074271)
405,Simon Bolivar,N,unknown,HISPANIC SOCIETY MUSEUM; 155 St. and Broadway,POINT (-73.946091 40.833183)
406,"still, edward w.",N,unknown,unknown,POINT EMPTY
407,Ephraim J. Whitlock,N,unknown,BOARD OF EDUCATION BUILDING; park ave at 57th st.,POINT (-73.9706449 40.7615707)
408,James Henry Roosevelt Memorial,N,unknown,"plaza in front of St. Luke's-Roosevelt Hospital Center, 10th Avenue between 58th and 59th Streets",POINT (-74.0077135 40.7428275)
409,"sayre, lewis albert",N,unknown,BELLEVUE HOSPITAL; foot of e. 26th st.,POINT (-73.9762044 40.7396865)
410,van wyck,N,unknown,CITY HALL,POINT EMPTY
411,New York In Its Infancy,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street entrance",POINT (-74.00436549999999 40.7134361)
412,"Duggan, Elizabeth A.",N,James Weldon Johnson Playground,P.S. 57; 115th Street west of 3rd Avenue,POINT (-73.9417662 40.7971137)
413,Accounts,N,unknown,"Municipal Building, Chambers and Centre Streets",POINT EMPTY
414,Stuyvesant Park Fountains (2),Y,Stuyvesant Park,2nd Avenue at 16th Street,POINT (-73.9841048 40.73394649999999)
415,Canal Street Fountain,Y,unknown,"Albert Capsuoto Park (formerly CaVaLa Park); bounded by Canal, Varick, and Laight Streets",POINT (-74.0060427 40.7220143)
416,Dinosaur Play Sculptures,O,unknown,"Riverside Park, 97th Street Playground",POINT EMPTY
417,Memorial to the 1956 Hungarian Revolution,Y,unknown,Riverside Drive and 113th Street,POINT (-73.9673988 40.8069466)
418,Coenties Ship,Y,unknown,Coenties Slip between Water and Pearl Streets,POINT (-74.010348 40.703446)
419,Isham Milestone,Y,Isham Park,Broadway at 211th Street;  Right (north) of south stairway entrance from street.,POINT (-73.91944529999999 40.86820669999999)
420,Growth,Y,East Harlem Art Park,East 120th Street & Sylvan Place (between 3rd Ave. & Lex.),POINT (-73.93910489999999 40.8008929)
421,Washington Square Fountain,Y,Washington Square Park,Foot of Fifth Avenue,POINT (-73.997332 40.7308838)
422,El Arbol de Esperanza,Y,Thomas Jefferson Park,1st Ave & 114th St.; Behind Recreation Center and pool,POINT (-73.9352341 40.7933578)
423,Chelsea Recreation Center Mosaics,Y,unknown,"Inside Chelsea Rec Center, above pool; 430 West 25th Street, between 8th and 9th Avenues",POINT (-74.00206469999999 40.74826849999999)
424,Jackson Square Fountain,Y,Jackson Square Park,Greenwich and Eighth Avenues and W. 13th Street,POINT (0.0098214 51.4933675)
425,Carmine Street Pool Mural,Y,James J. Walker Park,Adjacent to the Tony Dapolito Recreation Center,POINT (-74.00543019999999 40.7296158)
426,Riverside Fountain,Y,Riverside Park,Riverside Drive at 156th Street,POINT (-73.9476613 40.8344181)
427,East 23rd Street Bath House Dolphin Fountain,Y,unknown,"Inside pool, on deck",POINT EMPTY
428,Truth,O,Bryant Park,"New York Public Library, 5th Avenue façade, fountain niche north of main entrance",POINT (-73.9822534 40.75318230000001)
429,Bird Bath,Y,City Hall Park,"East of City Hall, on lawn",POINT (-74.0065164 40.7124142)
430,East 23rd Street Bath House Fountain,Y,Asser Levy Playground,East 23rd Street and East River Drive,POINT (-73.97511399999999 40.7354436)
431,police mall tablet,N,unknown,POLICE HEADQUARTERS; exterior brick wall,POINT EMPTY
432,"willkie, wendell l.",N,Bryant Park,"NEW YORK PUBLIC LIBRARY; inset in wall, 40th st, btwn 5-6th ave",POINT (-74.0053478 40.7189961)
433,Boar,Y,Sutton Parks,East 57th St & East River (east of Sutton Place),POINT (-73.9671162 40.7600845)
434,Alfred Lincoln Seligman Fountain,Y,Morningside Park,"114th Street and Morningside Avenue, at the foot of the stairway",POINT (-73.958215 40.8039068)
435,Star of Hope,Y,Madison Square Park,unknown,POINT (-73.98799919999999 40.7421951)
436,Foley Square Medallions,Y,Foley Square & T. Paine Park,unknown,POINT (-74.0029927 40.7143512)
437,Columnade,Y,Fort Tryon Park,"Across from restaurant building, north of parking lot",POINT (-73.9312995 40.8625608)
438,Union Square Drinking Fountain,Y,Union Square Park,"Westside of park, between 15th and 16th Streets",POINT (-73.9910835 40.7358633)
439,Grant's Tomb Eagles,N,Riverside Park,122nd St.,POINT EMPTY
440,Night Presence IV,Y,Park Avenue Center Plots (59th to 96th Streets),"East 92nd Street and Park Avenue, center median",POINT (-73.9543134 40.7839454)
441,"Sundial, Morris-Jumel Mansion",Y,Roger Morris Park,MORRIS-JUMEL MANSION; Edgecomb Avenue at 160th St.,POINT (-73.9385727 40.8344548)
442,Thomas F. Smith,N,Thomas F. Smith Park,Eleventh Avenue at 23rd Street.,POINT (-73.9956495 40.7441135)
443,City Hall Park Fountain,Y,City Hall Park,South end,POINT (-80.85877719999999 35.2125577)
444,Voice 2,Y,unknown,"Hudson River, between 125th and 135th Sts., West Harlem Pier Park",POINT (-73.9530859 40.8109831)
445,Union Square Park Labor & History Plaques,Y,unknown,Around perimeter sidewalks,POINT EMPTY
446,General Franz Sigel,Y,Riverside Park,Riverside Drive and West 106th  Street,POINT (-73.9700512 40.8022702)
447,Crack Is Wack,Y,Crack Is Wack Playground,"E 128 ST, 2 AVE & HARLEM RIVER DRIVE",POINT (-73.9617376 40.7641925)
448,Marie Sklodowska Curie,Y,City Hall Park,unknown,POINT (-74.0065164 40.7124142)
449,Charging Bull,N,Bowling Green,"Broadway, center island north of Bowling Green",POINT (-86.4808043 36.9685219)
450,Firemen's Memorial Luminaire,Y,unknown,Broadway and West 72nd Street,POINT (-73.9820622 40.7787998)
451,Frank J. Goodwin,Y,Chelsea Park,9th Avenue at 27th Street,POINT (121.050777 14.5488687)
452,Fort Tryon Park Flagstaff,Y,Fort Tryon Park,"Linden Terrace,  Riverside Drive and 192nd Street to Dyckman Street",POINT (-73.9266358 40.8645387)
453,Ukrainian American Flagstaff,Y,Triangle at East 10th Street and Stuyvesant Place,Stuyvesant and 10th Sts. at 2nd Avenue,POINT (-73.9875435 40.7300613)
454,Skagerrak,Y,Bellevue South Park,"East 26th Street to East 28th Street, and 2nd Avenue",POINT (-73.9786457 40.7410369)
455,Giuseppe Verdi,Y,Verdi Square,Broadway at 73rd Street,POINT (-73.9816211 40.7794995)
456,Voice 4,Y,unknown,"Hudson River, between 125th and 135th Sts., West Harlem Pier Park",POINT (-73.9530859 40.8109831)
457,Stuyvesant Post War Memorial,Y,unknown,"Veterans Adminstration Hospital, 423 East 23rd Street",POINT (-73.9768461 40.7370457)
458,Kryeti-Aekyad #2,Y,John Jay Park,East 76-78th Streets and Cherokee Place,POINT (-73.9615086 40.7749373)
459,Roosevelt Island Lighthouse,O,unknown,North tip of island,POINT EMPTY
460,Fort Tryon Park Playground,Y,Fort Tryon Park,"Fort Washington Avenue, 191st Street",POINT (-73.9397791 40.8472119)
461,George Washington Accompanied by Fame and Valor,Y,Washington Square Park,"Washington Square Arch, east pier, north side",POINT (-73.997332 40.7308838)
462,River That Flows Two Ways,Y,Battery Park,"Admiral Dewey Promenade, harborside perimeter railing",POINT (-74.0158441 40.7115786)
463,Riverside Civil War Cannons,Y,unknown,Soldiers and Sailors Plaza,POINT EMPTY
464,Abraham Lincoln,Y,Union Square Park,North end,POINT (-71.0554946 42.3652089)
465,American Merchant Mariners Memorial Plaque,Y,Battery Park,"Breakwater extension, section D",POINT (-74.0158441 40.7115786)
466,American Merchant Mariners Memorial,N,Battery Park,"Breakwater extension, section D",POINT (-74.0158441 40.7115786)
467,Filter House Ornaments,Y,Hamilton Fish Park,unknown,POINT (-73.980795 40.7196552)
468,Voice 1,Y,unknown,"Hudson River, between 125th and 135th Sts., West Harlem Pier Park",POINT (-73.9530859 40.8109831)
469,Armillary Sphere,Y,Sutton Parks,unknown,POINT (-73.96103219999999 40.7558548)
470,Eaphae-Aekyad #2,Y,John Jay Park,East 76th - East 78th Streets and Cherokee Place,POINT (-73.94944939999999 40.7700997)
471,George Washington Accompanied by Wisdom and Justice,Y,Washington Square Park,"Washington Square Arch, west pier, north side",POINT (-73.997332 40.7308838)
472,Lowell Kingsley Hanson,Y,unknown,TURTLE BAY; First Avenue and 49th Street,POINT (-73.96666929999999 40.7532814)
473,Independence Flagstaff,Y,Union Square Park,Center of park,POINT (-73.9910835 40.7358633)
474,City Hall (Interior),O,unknown,Interior of City Hall,POINT EMPTY
475,Madison Square Fountain,Y,Madison Square Park,Center axis at 24th Street,POINT (-73.98799919999999 40.7421951)
476,Marine Heroes Tablet,Y,Riverside Park,West 93rd Street,POINT (-73.9713827 40.7919612)
